Obesity News -- ScienceDaily; /url?q=http://www.sciencedaily.com/news/health_medicine/obesity/&sa=U&ved=0ahUKEwjuw5ngp8XdAhXGiJAKHSMwClI4FBAWCBowAQ&usg=AOvVaw0ryiIqcA48IorHiDv82iOI
Obesity: Causes, Complications & Treatments - Live Science; /url?q=https://www.livescience.com/34787-obesity-high-bmi-causes-diabetes-heart-disease.html&sa=U&ved=0ahUKEwjuw5ngp8XdAhXGiJAKHSMwClI4FBAWCB8wAg&usg=AOvVaw0uTdzx4vYgnP3J2v_goeKX
Obesity - Wiley Online Library; /url?q=https://onlinelibrary.wiley.com/journal/1930739x&sa=U&ved=0ahUKEwjuw5ngp8XdAhXGiJAKHSMwClI4FBAWCCUwAw&usg=AOvVaw3TmvfBJ_OP1aioIFMfnkJI
Household cleaners may trigger childhood obesity | CBC Radio; /url?q=https://www.cbc.ca/radio/whitecoat/household-cleaners-may-trigger-childhood-obesity-1.4826324&sa=U&ved=0ahUKEwjuw5ngp8XdAhXGiJAKHSMwClI4FBAWCCcwBA&usg=AOvVaw3MYJTiRechasvno6umqL_u
Household cleaners, disinfectants linked to obesity, overweight kids; /url?q=https://www.ajc.com/news/are-household-disinfectants-making-kids-overweight/kx965fjhELHr2eT8BW5LgJ/&sa=U&ved=0ahUKEwjuw5ngp8XdAhXGiJAKHSMwClI4FBAWCC0wBQ&usg=AOvVaw11lfEG0gNzw3__mV870P-F
European Association for the Study of Obesity: EASO; /url?q=http://easo.org/&sa=U&ved=0ahUKEwjuw5ngp8XdAhXGiJAKHSMwClI4FBAWCDMwBg&usg=AOvVaw0fx-y-KF-fuzydwOueYzQD
Obesity - BrainPOP; /url?q=https://www.brainpop.com/health/nutrition/obesity/&sa=U&ved=0ahUKEwjuw5ngp8XdAhXGiJAKHSMwClI4FBAWCDkwBw&usg=AOvVaw049Hyz0sYfFsAH7geky8WI
Obesity in America | What Are the Consequences? - PublicHealth.org; /url?q=https://www.publichealth.org/public-awareness/obesity/consequences/&sa=U&ved=0ahUKEwjuw5ngp8XdAhXGiJAKHSMwClI4FBAWCD8wCA&usg=AOvVaw1utIzfbeHHGGnI75tmoAaQ
Obesity statistics | Ministry of Health NZ; /url?q=https://www.health.govt.nz/nz-health-statistics/health-statistics-and-data-sets/obesity-statistics&sa=U&ved=0ahUKEwjuw5ngp8XdAhXGiJAKHSMwClI4FBAWCEQwCQ&usg=AOvVaw1PcihwLxNIHoM_vJag9M11
International Journal of Obesity - Nature; /url?q=https://www.nature.com/ijo/&sa=U&ved=0ahUKEwjg9cvgp8XdAhVOl5AKHbLACZg4HhAWCBQwAA&usg=AOvVaw0LVYrCB5di0TA7ZBgu9JG6
OBESITY: OVERVIEW OF AN EPIDEMIC - NCBI - NIH; /url?q=https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3228640/&sa=U&ved=0ahUKEwjg9cvgp8XdAhVOl5AKHbLACZg4HhAWCBYwAQ&usg=AOvVaw2-zl-hNl5lVuuuJiMMTW7e
Obesity is not an illness - there's only one thing to blame; /url?q=https://www.telegraph.co.uk/women/life/obesity-not-illness-one-thing-blame/&sa=U&ved=0ahUKEwjg9cvgp8XdAhVOl5AKHbLACZg4HhAWCBswAg&usg=AOvVaw33T2uXr7XLbdVRpt3sKENT
The facts on overweight & obesity in Australia – Dietitians ...; /url?q=https://daa.asn.au/smart-eating-for-you/smart-eating-fast-facts/medical/the-facts-on-overweight-obesity-in-australia-link-to-ahww/&sa=U&ved=0ahUKEwjg9cvgp8XdAhVOl5AKHbLACZg4HhAWCCEwAw&usg=AOvVaw35WLCMlI8mj19USHkRKWP9
Obesity - HealthyChildren.org; /url?q=https://www.healthychildren.org/English/health-issues/conditions/obesity/Pages/default.aspx&sa=U&ved=0ahUKEwjg9cvgp8XdAhVOl5AKHbLACZg4HhAWCCcwBA&usg=AOvVaw15sSH67iXIOkzu91Zp0d1k
